query_item,n_qualifiers,query_time_s
1301,8,0.1846163272857666
2799,11,0.23000097274780273
1993,4,0.1435105800628662
1376,7,0.20294499397277832
1318,19,0.18887042999267578
2293,19,0.13859009742736816
455,14,0.23049497604370117
965,5,0.2010338306427002
485,4,0.2005138397216797
2088,4,0.16671180725097656
532,12,0.24832868576049805
1468,4,0.20348525047302246
1256,13,0.17939400672912598
2405,12,0.1750783920288086
1098,8,0.18840670585632324
2025,8,0.18904662132263184
2485,2,0.16829681396484375
585,8,0.22323989868164062
2602,5,0.18983912467956543
2863,20,0.178239107131958
665,7,0.14412546157836914
2727,9,0.2144315242767334
2629,4,0.13229084014892578
373,11,0.20473694801330566
478,8,0.1938033103942871
2447,12,0.17109179496765137
2360,3,0.17542529106140137
562,13,0.17641234397888184
2239,7,0.19805359840393066
418,14,0.15252089500427246
716,15,0.21310043334960938
1624,9,0.19708991050720215
2981,27,0.1764993667602539
1530,4,0.17442822456359863
1595,6,0.14205694198608398
862,7,0.21446943283081055
2683,5,0.16054630279541016
2289,0,0.16969728469848633
1881,12,0.20286059379577637
2292,6,0.2168140411376953
269,2,0.20357608795166016
2515,12,0.17736315727233887
1614,2,0.17049837112426758
1158,14,0.19239568710327148
1297,10,0.16739511489868164
1413,16,0.13834571838378906
1877,19,0.22136902809143066
199,9,0.19406867027282715
2214,17,0.1462390422821045
674,6,0.16602230072021484
1897,26,0.17903947830200195
2686,25,0.2023172378540039
2019,5,0.18348145484924316
1084,5,0.22139644622802734
1311,3,0.1370866298675537
1374,3,0.16089105606079102
2706,10,0.25592613220214844
1495,22,0.18442273139953613
2140,9,0.17076921463012695
2196,6,0.21105074882507324
1176,9,0.19208693504333496
1081,6,0.17688632011413574
2242,4,0.2262418270111084
226,15,0.1886153221130371
1907,23,0.1727583408355713
2043,28,0.1722393035888672
2428,3,0.1792154312133789
249,52,0.1721172332763672
812,38,0.19356679916381836
290,5,0.2323167324066162
2855,13,0.1732492446899414
2227,47,0.16478395462036133
129,22,0.18656706809997559
2491,12,0.17441177368164062
2058,11,0.1438138484954834
1299,9,0.17968106269836426
2517,10,0.2070908546447754
573,50,0.13319683074951172
1073,38,0.1800854206085205
187,43,0.19409799575805664
273,6,0.18508124351501465
1459,8,0.20008540153503418
2837,7,0.2326059341430664
1272,2,0.1657428741455078
932,1,0.22040772438049316
2404,2,0.198045015335083
1854,15,0.24357938766479492
1996,14,0.21011066436767578
1392,21,0.14446163177490234
2282,20,0.2128448486328125
1216,10,0.18657898902893066
1042,6,0.17380762100219727
2203,10,0.17574119567871094
385,9,0.20426416397094727
2039,17,0.16928601264953613
981,25,0.22974443435668945
258,22,0.23052024841308594
1679,16,0.2491590976715088
1313,27,0.2084493637084961
2481,12,0.1961367130279541
