Method,AvgTime_s,AvgRecall,AvgPrecision,AvgPruning,AvgExactMatch,AvgCandidates,SpeedupVsSSA
Full_SSA,1.1296620965003967,N/A,N/A,N/A,N/A,N/A,1.00x
Full_PRA,1.1385009264945984,N/A,N/A,N/A,N/A,N/A,N/A
Hybrid_SSA_GlobalAvg,0.016343233585357667,0.8120512260381847,0.9878258625681307,0.9968193384223923,0.35,15.0,69.12x
Hybrid_PRA_GlobalAvg,0.016275362968444826,0.8120512260381847,0.9878258625681307,0.9968193384223923,0.35,15.0,69.41x
Hybrid_SSA_UnionWin,0.05463012456893921,0.9531383295464475,0.9876548046515491,0.9923261238337573,0.71,36.19,20.68x
Hybrid_PRA_UnionWin,0.0559971022605896,0.9531383295464475,0.9876548046515491,0.9923261238337573,0.71,36.19,20.17x
Hybrid_SSA_DurableRank,0.05157999515533447,0.9271030732188316,0.9861355425788416,0.9968193384223923,0.65,15.0,21.90x
Hybrid_PRA_DurableRank,0.052897875308990476,0.9271030732188316,0.9861355425788416,0.9968193384223923,0.65,15.0,21.36x
Hybrid_SSA_LegacyMinRank,0.351597855091095,0.0,0.0,0.9968193384223923,0.03,15.0,3.21x
Hybrid_PRA_LegacyMinRank,0.3465268325805664,0.0,0.0,0.9968193384223923,0.03,15.0,3.26x
