query_idx,query_item,user_id,exact_ranks,est_ranks,sorted_est_ranks,dqr,exact_success_count,required_successes,excluded_by_topn,would_boundary_bm5_include,would_boundary_bm10_include,dqr_rank_among_all_users,candidate_count_baseline,full_result_size,baseline_candidate_size
10,1061,0,"10,10,10,46,60","10.65,10.65,10.65,45.70,60.32","10.65,10.65,10.65,45.70,60.32",10.6527,3,3,True,True,True,157,20,159,20
10,1061,16,"9,9,141,9,46","8.71,8.71,141.52,10.35,46.64","8.71,8.71,10.35,46.64,141.52",10.3533,3,3,True,True,True,144,20,159,20
10,1061,67,"9,9,9,9,9","9.20,9.20,9.20,9.20,9.20","9.20,9.20,9.20,9.20,9.20",9.2033,5,3,True,True,True,113,20,159,20
10,1061,138,"7,7,7,7,9","6.81,6.81,6.81,7.64,7.82","6.81,6.81,6.81,7.64,7.82",6.8073,5,3,True,True,True,51,20,159,20
10,1061,175,"8,8,8,8,8","7.37,7.37,7.37,7.37,7.37","7.37,7.37,7.37,7.37,7.37",7.3704,5,3,True,True,True,66,20,159,20
10,1061,227,"10,10,10,10,10","10.27,10.27,10.27,10.27,10.27","10.27,10.27,10.27,10.27,10.27",10.2657,5,3,True,True,True,143,20,159,20
10,1061,229,"9,9,9,12,7","8.87,8.87,8.87,12.80,6.30","6.30,8.87,8.87,8.87,12.80",8.8716,4,3,True,True,True,107,20,159,20
10,1061,293,"8,8,22,12,7","8.40,8.40,22.90,12.15,6.61","6.61,8.40,8.40,12.15,22.90",8.3952,3,3,True,True,True,93,20,159,20
10,1061,388,"5,5,5,5,5","5.67,5.67,5.67,5.67,5.67","5.67,5.67,5.67,5.67,5.67",5.6691,5,3,True,True,True,40,20,159,20
10,1061,421,"8,8,13,7,19","8.43,8.43,14.02,7.05,18.76","7.05,8.43,8.43,14.02,18.76",8.4341,3,3,True,True,True,95,20,159,20
21,2450,155,"9,4,4,34,14","9.59,4.04,4.04,33.13,13.98","4.04,4.04,9.59,13.98,33.13",9.592,3,3,True,True,True,40,20,62,20
21,2450,498,"9,9,12,4,63","9.04,9.04,12.01,6.28,63.37","6.28,9.04,9.04,12.01,63.37",9.0406,3,3,True,True,True,29,20,62,20
21,2450,555,"9,9,9,9,9","9.49,9.49,9.49,9.49,9.49","9.49,9.49,9.49,9.49,9.49",9.4855,5,3,True,True,True,36,20,62,20
21,2450,598,"10,10,7,18,109","10.47,10.47,7.89,18.74,109.10","7.89,10.47,10.47,18.74,109.10",10.4712,3,3,True,True,True,53,20,62,20
21,2450,655,"8,8,8,5,104","8.74,8.74,8.74,4.70,103.22","4.70,8.74,8.74,8.74,103.22",8.7366,4,3,True,True,True,26,20,62,20
21,2450,745,"10,10,10,346,9","9.37,9.37,9.37,346.73,10.39","9.37,9.37,9.37,10.39,346.73",9.372,4,3,True,True,True,33,20,62,20
21,2450,809,"10,10,10,6,55","10.58,10.58,10.58,6.94,55.82","6.94,10.58,10.58,10.58,55.82",10.5787,4,3,True,True,True,55,20,62,20
21,2450,1302,"10,10,10,6,94","10.13,10.13,10.13,6.20,94.45","6.20,10.13,10.13,10.13,94.45",10.1274,4,3,True,True,True,48,20,62,20
21,2450,1363,"11,11,11,8,59","10.89,10.89,10.89,8.66,60.69","8.66,10.89,10.89,10.89,60.69",10.8878,1,3,True,True,True,63,20,62,20
21,2450,1450,"8,5,10,18,171","8.53,5.79,10.64,20.44,170.73","5.79,8.53,10.64,20.44,170.73",10.6432,3,3,True,True,True,58,20,62,20
24,2650,2277,"4,73,3,8,47","3.31,73.24,3.04,8.18,47.30","3.04,3.31,8.18,47.30,73.24",8.1809,3,3,True,True,True,23,20,26,20
24,2650,2841,"7,7,7,6,23","7.29,7.29,7.29,6.51,23.44","6.51,7.29,7.29,7.29,23.44",7.2864,4,3,True,True,True,21,20,26,20
24,2650,3068,"9,364,3,33,5","10.00,364.03,2.65,32.63,4.94","2.65,4.94,10.00,32.63,364.03",9.9966,3,3,True,True,True,26,20,26,20
24,2650,3330,"9,9,9,13,38","9.87,9.87,8.71,13.86,39.08","8.71,9.87,9.87,13.86,39.08",9.8654,3,3,True,True,True,25,20,26,20
24,2650,3386,"7,7,7,26,3","7.41,7.41,7.41,26.77,3.36","3.36,7.41,7.41,7.41,26.77",7.4118,4,3,True,True,True,22,20,26,20
24,2650,3744,"8,44,1,4,50","8.61,45.00,1.00,3.67,50.89","1.00,3.67,8.61,45.00,50.89",8.6125,3,3,True,True,True,24,20,26,20
