Parameter,Value,Method,Runtime,Candidates,Results,PruningRatio,Recall
users,1000,Full_SSA,1.3374600410461426,1000,1,0.0,1.0
users,1000,Hybrid_SSA,0.2675504684448242,75,0,0.925,0.0
users,3000,Full_SSA,3.6141412258148193,3000,13,0.0,1.0
users,3000,Hybrid_SSA,0.11932563781738281,75,0,0.975,0.0
users,5000,Full_SSA,6.470678806304932,5000,15,0.0,1.0
users,5000,Hybrid_SSA,0.14361834526062012,75,0,0.985,0.0
items,5000,Full_SSA,1.790001392364502,3000,25,0.0,1.0
items,5000,Hybrid_SSA,0.07386469841003418,75,0,0.975,0.0
items,15000,Full_SSA,6.166769742965698,3000,7,0.0,1.0
items,15000,Hybrid_SSA,0.22277259826660156,75,0,0.975,0.0
items,25000,Full_SSA,12.661110162734985,3000,8,0.0,1.0
items,25000,Hybrid_SSA,0.4016423225402832,75,0,0.975,0.0
timestamps,5,Full_SSA,2.910196542739868,3000,7,0.0,1.0
timestamps,5,Hybrid_SSA,0.17922234535217285,75,0,0.975,0.0
timestamps,10,Full_SSA,5.208911180496216,3000,13,0.0,1.0
timestamps,10,Hybrid_SSA,0.22810578346252441,75,0,0.975,0.0
timestamps,20,Full_SSA,11.075182676315308,3000,8,0.0,1.0
timestamps,20,Hybrid_SSA,0.31182193756103516,75,0,0.975,0.0
